"Date","Price","Open","High","Low","Change %"
"Dec 04","0.17650","0.17570","0.17650","0.17570","2.56%"
"Nov 04","0.17210","0.17130","0.17210","0.17130","5.26%"
"Oct 04","0.16350","0.16280","0.16350","0.16280","5.48%"
"Sep 04","0.15500","0.15440","0.15500","0.15440","2.99%"
"Aug 04","0.15050","0.14990","0.15050","0.14990","-5.76%"
"Jul 04","0.15970","0.15900","0.15970","0.15900","-1.78%"
"Jun 04","0.16260","0.16240","0.16260","0.16240","5.58%"
"May 04","0.15400","0.15340","0.15400","0.15340","7.69%"
"Apr 04","0.14300","0.14250","0.14300","0.14250","-10.18%"
"Mar 04","0.15920","0.15880","0.15920","0.15880","5.36%"
"Feb 04","0.15110","0.15050","0.15110","0.15050","7.24%"
"Jan 04","0.14090","0.14040","0.14090","0.14040","-5.69%"
"Dec 03","0.14940","0.14910","0.14940","0.14910","-4.48%"
"Nov 03","0.15640","0.15580","0.15640","0.15580","7.71%"
"Oct 03","0.14520","0.14460","0.14520","0.14460","0.83%"
"Sep 03","0.14400","0.14370","0.14400","0.14370","5.88%"
"Aug 03","0.13600","0.13550","0.13600","0.13550","0.29%"
"Jul 03","0.13560","0.13520","0.13560","0.13520","1.57%"
"Jun 03","0.13350","0.13300","0.13350","0.13300","8.18%"
"May 03","0.12340","0.12330","0.12340","0.12330","-10.32%"
"Apr 03","0.13760","0.13760","0.13760","0.13760","8.52%"
"Mar 03","0.12680","0.12660","0.12680","0.12660","2.51%"
"Feb 03","0.12370","0.12330","0.12370","0.12330","5.19%"
"Jan 03","0.11760","0.11720","0.11760","0.11720","0.77%"
"Dec 02","0.11670","0.11630","0.11670","0.11630","7.96%"
"Nov 02","0.10810","0.10780","0.10810","0.10780","8.32%"
"Oct 02","0.09980","0.09970","0.09980","0.09970","5.05%"
"Sep 02","0.09500","0.09490","0.09500","0.09490","0.53%"
"Aug 02","0.09450","0.09430","0.09450","0.09430","-3.87%"
"Jul 02","0.09830","0.09820","0.09830","0.09820","1.03%"
"Jun 02","0.09730","0.09720","0.09730","0.09720","-4.33%"
"May 02","0.10170","0.10140","0.10170","0.10140","8.42%"
"Apr 02","0.09380","0.09340","0.09380","0.09340","6.35%"
"Mar 02","0.08820","0.08800","0.08820","0.08800","0.34%"
"Feb 02","0.08790","0.08780","0.08790","0.08780","0.46%"
"Jan 02","0.08750","0.08710","0.08750","0.08710","4.92%"
"Dec 01","0.08340","0.08330","0.08340","0.08330","-14.46%"
"Nov 01","0.09750","0.09740","0.09750","0.09740","-7.84%"
"Oct 01","0.10580","0.10580","0.10580","0.10580","-4.43%"
"Sep 01","0.11070","0.11060","0.11070","0.11060","-6.58%"
"Aug 01","0.11850","0.11850","0.11850","0.11850","-2.07%"
"Jul 01","0.12100","0.12100","0.12100","0.12100","-2.58%"
"Jun 01","0.12420","0.12420","0.12420","0.12420","-0.64%"
"May 01","0.12500","0.12490","0.12500","0.12490","0.48%"
"Apr 01","0.12440","0.12430","0.12440","0.12430","0.00%"
"Mar 01","0.12440","0.12430","0.12440","0.12430","-4.60%"
"Feb 01","0.13040","0.13030","0.13040","0.13030","1.01%"
"Jan 01","0.12910","0.12900","0.12910","0.12900","-2.05%"
"Dec 00","0.13180","0.13170","0.13180","0.13170","1.93%"
"Nov 00","0.12930","0.12920","0.12930","0.12920","-2.27%"
"Oct 00","0.13230","0.13220","0.13230","0.13220","-4.27%"
"Sep 00","0.13820","0.13810","0.13820","0.13810","-3.56%"
"Aug 00","0.14330","0.14320","0.14330","0.14320","-0.28%"
"Jul 00","0.14370","0.14360","0.14370","0.14360","-2.58%"
"Jun 00","0.14750","0.14740","0.14750","0.14740","2.79%"
"May 00","0.14350","0.14340","0.14350","0.14340","-2.58%"
"Apr 00","0.14730","0.14720","0.14730","0.14720","-3.85%"
"Mar 00","0.15320","0.15310","0.15320","0.15310","-2.92%"
"Feb 00","0.15780","0.15770","0.15780","0.15770","-0.50%"
"Jan 00","0.15860","0.15840","0.15860","0.15840","-2.52%"
"Dec 99","0.16270","0.16250","0.16270","0.16250","0.56%"
"Nov 99","0.16180","0.16180","0.16180","0.16180","-0.61%"
"Oct 99","0.16280","0.16260","0.16280","0.16260","-2.16%"
"Sep 99","0.16640","0.16640","0.16640","0.16640","1.22%"
"Aug 99","0.16440","0.16430","0.16440","0.16430","1.48%"
"Jul 99","0.16200","0.16190","0.16200","0.16190","-2.59%"
"Jun 99","0.16630","0.16610","0.16630","0.16610","3.42%"
"May 99","0.16080","0.16060","0.16080","0.16060","-2.43%"
"Apr 99","0.16480","0.16470","0.16480","0.16470","1.42%"
"Mar 99","0.16250","0.16240","0.16250","0.16240","0.62%"
"Feb 99","0.16150","0.16140","0.16150","0.16140","-2.06%"
"Jan 99","0.16490","0.16480","0.16490","0.16480","-2.89%"
"Dec 98","0.16980","0.16960","0.16980","0.16960","-3.30%"
"Nov 98","0.17560","0.17550","0.17560","0.17550","-1.84%"
"Oct 98","0.17890","0.17860","0.17890","0.17860","6.42%"
"Sep 98","0.16810","0.16780","0.16810","0.16780","9.58%"
"Aug 98","0.15340","0.15330","0.15340","0.15330","-6.06%"
"Jul 98","0.16330","0.16310","0.16330","0.16310","-2.51%"
"Jun 98","0.16750","0.16750","0.16750","0.16750","-13.66%"
"May 98","0.19400","0.19390","0.19400","0.19390","-1.92%"
"Apr 98","0.19780","0.19780","0.19780","0.19780","-0.40%"
"Mar 98","0.19860","0.19860","0.19860","0.19860","-1.73%"
"Feb 98","0.20210","0.20210","0.20210","0.20210","-0.30%"
"Jan 98","0.20270","0.20270","0.20270","0.20270","-1.36%"
"Dec 97","0.20550","0.20540","0.20550","0.20540","-0.29%"
"Nov 97","0.20610","0.20600","0.20610","0.20600","-0.77%"
"Oct 97","0.20770","0.20760","0.20770","0.20760","-3.40%"
"Sep 97","0.21500","0.21490","0.21500","0.21490","0.89%"
"Aug 97","0.21310","0.21300","0.21310","0.21300","-1.71%"
"Jul 97","0.21680","0.21670","0.21680","0.21670","-1.68%"
"Jun 97","0.22050","0.22040","0.22050","0.22040","-1.47%"
"May 97","0.22380","0.22380","0.22380","0.22380","-0.44%"
"Apr 97","0.22480","0.22470","0.22480","0.22470","-0.62%"
"Mar 97","0.22620","0.22610","0.22620","0.22610","1.30%"
"Feb 97","0.22330","0.22330","0.22330","0.22330","1.82%"
"Jan 97","0.21930","0.21920","0.21930","0.21920","2.62%"
"Dec 96","0.21370","0.21360","0.21370","0.21360","-1.38%"
"Nov 96","0.21670","0.21650","0.21670","0.21650","1.74%"
"Oct 96","0.21300","0.21290","0.21300","0.21290","-3.31%"
"Sep 96","0.22030","0.22020","0.22030","0.22020","-1.03%"
"Aug 96","0.22260","0.22240","0.22260","0.22240","0.63%"
"Jul 96","0.22120","0.22090","0.22120","0.22090","-4.20%"
"Jun 96","0.23090","0.23080","0.23090","0.23080","0.48%"
"May 96","0.22980","0.22960","0.22980","0.22960","-0.48%"
"Apr 96","0.23090","0.23070","0.23090","0.23070","-8.08%"
"Mar 96","0.25120","0.25110","0.25120","0.25110","-2.67%"
"Feb 96","0.25810","0.25770","0.25810","0.25770","-5.80%"
"Jan 96","0.27400","0.27380","0.27400","0.27380","-0.11%"
"Dec 95","0.27430","0.27420","0.27430","0.27420","0.62%"
"Nov 95","0.27260","0.27260","0.27260","0.27260","-0.58%"
"Oct 95","0.27420","0.27410","0.27420","0.27410","0.15%"
"Sep 95","0.27380","0.27380","0.27380","0.27380","0.11%"
"Aug 95","0.27350","0.27350","0.27350","0.27350","-0.94%"
"Jul 95","0.27610","0.27610","0.27610","0.27610","0.36%"
"Jun 95","0.27510","0.27500","0.27510","0.27500","1.18%"
"May 95","0.27190","0.27180","0.27190","0.27180","-1.59%"
"Apr 95","0.27630","0.27620","0.27630","0.27620","-1.11%"
"Mar 95","0.27940","0.27930","0.27940","0.27930","0.54%"
"Feb 95","0.27790","0.27780","0.27790","0.27780","-1.56%"
"Jan 95","0.28230","0.28220","0.28230","0.28220","0.04%"
"Dec 94","0.28220","0.28210","0.28220","0.28210","0.25%"
"Nov 94","0.28150","0.28140","0.28150","0.28140","-1.47%"
"Oct 94","0.28570","0.28560","0.28570","0.28560","1.89%"
"Sep 94","0.28040","0.28030","0.28040","0.28030","0.57%"
"Aug 94","0.27880","0.27870","0.27880","0.27870","2.46%"
"Jul 94","0.27210","0.27200","0.27210","0.27200","-0.62%"
"Jun 94","0.27380","0.27370","0.27380","0.27370","-0.62%"
"May 94","0.27550","0.27530","0.27550","0.27530","-2.99%"
"Apr 94","0.28400","0.28400","0.28400","0.28400","-1.15%"
"Mar 94","0.28730","0.28720","0.28730","0.28720","-0.35%"
"Feb 94","0.28830","0.28820","0.28830","0.28820","-1.33%"
"Jan 94","0.29220","0.29210","0.29220","0.29210","-0.71%"
"Dec 93","0.29430","0.29430","0.29430","0.29430","-0.84%"
"Nov 93","0.29680","0.29670","0.29680","0.29670","-0.37%"
"Oct 93","0.29790","0.29780","0.29790","0.29780","2.51%"
"Sep 93","0.29060","0.29060","0.29060","0.29060","-1.82%"
"Aug 93","0.29600","0.29590","0.29600","0.29590","0.03%"
"Jul 93","0.29590","0.29580","0.29590","0.29580","-1.17%"
"Jun 93","0.29940","0.29930","0.29940","0.29930","-4.83%"
"May 93","0.31460","0.31460","0.31460","0.31460","-0.60%"
"Apr 93","0.31650","0.31630","0.31650","0.31630","0.29%"
"Mar 93","0.31560","0.31550","0.31560","0.31550","-0.79%"
"Feb 93","0.31810","0.31800","0.31810","0.31800","-2.12%"
"Jan 93","0.32500","0.32490","0.32500","0.32490","-0.85%"
"Dec 92","0.32780","0.32760","0.32780","0.32760","-1.27%"
"Nov 92","0.33200","0.33170","0.33200","0.33170","-1.89%"
"Oct 92","0.33840","0.33830","0.33840","0.33830","-4.78%"
"Sep 92","0.35540","0.35520","0.35540","0.35520","-2.68%"
"Aug 92","0.36520","0.36510","0.36520","0.36510","0.94%"
"Jul 92","0.36180","0.36170","0.36180","0.36170","0.25%"
"Jun 92","0.36090","0.36080","0.36090","0.36080","2.21%"
"May 92","0.35310","0.35300","0.35310","0.35300","1.49%"
"Apr 92","0.34790","0.34780","0.34790","0.34780","0.06%"
"Mar 92","0.34770","0.34760","0.34770","0.34760","-1.17%"
"Feb 92","0.35180","0.35160","0.35180","0.35160","-1.62%"
"Jan 92","0.35760","0.35730","0.35760","0.35730","-1.97%"
"Dec 91","0.36480","0.36460","0.36480","0.36460","2.16%"
"Nov 91","0.35710","0.35690","0.35710","0.35690","1.16%"
"Oct 91","0.35300","0.35290","0.35300","0.35290","-0.98%"
"Sep 91","0.35650","0.35640","0.35650","0.35640","2.44%"
"Aug 91","0.34800","0.34790","0.34800","0.34790","-0.51%"
"Jul 91","0.34980","0.34970","0.34980","0.34970","1.04%"
"Jun 91","0.34620","0.34610","0.34620","0.34610","-2.12%"
"May 91","0.35370","0.35340","0.35370","0.35340","-1.59%"
"Apr 91","0.35940","0.35910","0.35940","0.35910","-1.80%"
"Mar 91","0.36600","0.36560","0.36600","0.36560","-6.11%"
"Feb 91","0.38980","0.38960","0.38980","0.38960","-0.97%"
"Jan 91","0.39360","0.39320","0.39360","0.39320","0.66%"
"Dec 90","0.39100","0.39060","0.39100","0.39060","-1.41%"
"Nov 90","0.39660","0.39640","0.39660","0.39640","0.79%"
"Oct 90","0.39350","0.39320","0.39350","0.39320","1.03%"
"Sep 90","0.38950","0.38940","0.38950","0.38940","0.23%"
"Aug 90","0.38860","0.38850","0.38860","0.38850","0.62%"
"Jul 90","0.38620","0.38600","0.38620","0.38600","2.82%"
"Jun 90","0.37560","0.37550","0.37560","0.37550","0.29%"
"May 90","0.37450","0.37380","0.37450","0.37380","-0.29%"
"Apr 90","0.37560","0.37550","0.37560","0.37550","-0.27%"
"Mar 90","0.37660","0.37650","0.37660","0.37650","-3.71%"
"Feb 90","0.39110","0.39100","0.39110","0.39100","0.15%"
"Jan 90","0.39050","0.39010","0.39050","0.39010","-0.31%"
"Dec 89","0.39170","0.39150","0.39170","0.39150","2.06%"
"Nov 89","0.38380","0.38360","0.38380","0.38360","1.24%"
